Link ID,Start Node,Start Node Eastings,Start Node Northings,End Node,End Node Eastings,End Node Northings,Region,Road Type
992136-993019,992136,835246.0144,826840.1255,993019,835129.9142,826809.3339,ST,MAJOR ROUTE
992137-992138,992137,832416.3317,826796.9569,992138,832401.9462,826810.8515,ST,MAJOR ROUTE
992138-991047,992138,832401.9462,826810.8515,991047,832387.5607,826824.746,ST,MAJOR ROUTE
992139-993021,992139,823587.3091,836053.8705,993021,823225.0754,834996.5499,TM,MAJOR ROUTE
992140-992142,992140,823196.1382,834948.4203,992142,823206.885,834965.2862,TM,MAJOR ROUTE
992141-992143,992141,823188.3683,834953.8558,992143,823201.4071,834969.0213,TM,MAJOR ROUTE
992142-991049,992142,823185.5732,834931.4385,991049,823196.1382,834948.4203,TM,MAJOR ROUTE
992143-991050,992143,823176.8556,834937.502,991050,823188.3683,834953.8558,TM,MAJOR ROUTE
992144-992164,992144,823175.8512,834913.9605,992164,823004.7494,834417.2961,TM,MAJOR ROUTE
992145-992146,992145,823165.6758,834920.9233,992146,823128.7596,834147.7907,TM,MAJOR ROUTE
992146-992147,992146,823128.7596,834147.7907,992147,823135.6781,834129.0254,TM,MAJOR ROUTE
992147-991051,992147,823135.6781,834129.0254,991051,823142.5967,834110.2602,TM,MAJOR ROUTE
992148-992149,992148,823149.6202,834091.534,992149,823647.792,833453.1641,TM,MAJOR ROUTE
992149-992150,992149,823647.792,833453.1641,992150,823663.0466,833440.23,TM,MAJOR ROUTE
992150-991052,992150,823663.0466,833440.23,991052,823678.326,833427.3258,TM,MAJOR ROUTE
992151-992152,992151,823693.8437,833414.7083,992152,824224.506,832970.5843,TM,MAJOR ROUTE
992152-992153,992152,824237.745,832955.5954,992153,824224.506,832970.5843,TM,MAJOR ROUTE
992153-991053,992153,824251.1477,832940.7513,991053,824237.745,832955.5954,TM,MAJOR ROUTE
992154-992155,992154,824264.1649,832925.5673,992155,824678.5428,831578.9245,TM,MAJOR ROUTE
992155-992156,992155,824679.2237,831558.9361,992156,824678.5428,831578.9245,TM,MAJOR ROUTE
992156-991054,992156,824679.3904,831538.9385,991054,824679.2237,831558.9361,TM,MAJOR ROUTE
992157-992158,992157,824679.2074,831518.9393,992158,824495.6324,830459.6222,TM,MAJOR ROUTE
992158-992159,992158,824486.8414,830441.658,992159,824495.6324,830459.6222,TM,MAJOR ROUTE
992159-991055,992159,824477.5608,830423.9415,991055,824486.8414,830441.658,TM,MAJOR ROUTE
992160-993022,992160,824467.8497,830406.4575,993022,824236.8595,829891.4274,TM,MAJOR ROUTE
992161-992162,992161,825161.5023,826142.8711,992162,825145.491,826154.8559,TM,MAJOR ROUTE
992162-991056,992162,825177.4052,826130.7426,991056,825161.5023,826142.8711,TM,MAJOR ROUTE
992163-993024,992163,825193.276,826118.5723,993024,825667.9161,825795.6446,TM,MAJOR ROUTE
992164-992165,992164,823004.7494,834417.2961,992165,822987.6478,834406.9401,TM,MAJOR ROUTE
992165-991057,992165,822987.6478,834406.9401,991057,822969.5934,834398.4122,TM,MAJOR ROUTE
992166-992167,992166,822950.9647,834391.1871,992167,822196.8346,834147.5226,TM,MAJOR ROUTE
992167-992168,992167,822196.8346,834147.5226,992168,822186.2266,834130.584,TM,MAJOR ROUTE
992168-991058,992168,822186.2266,834130.584,991058,822177.0044,834112.8398,TM,MAJOR ROUTE
992169-992170,992169,822168.4672,834094.7564,992170,821776.8185,833020.3738,TM,MAJOR ROUTE
992170-992171,992170,821762.1539,833006.7741,992171,821776.8185,833020.3738,TM,MAJOR ROUTE
992171-991059,992171,821747.3574,832993.3182,991059,821762.1539,833006.7741,TM,MAJOR ROUTE
992172-992173,992172,821732.5605,832979.8626,992173,820946.0188,832769.3458,TM,MAJOR ROUTE
992173-992174,992173,820946.0188,832769.3458,992174,820926.3911,832773.1865,TM,MAJOR ROUTE
992174-991060,992174,820926.3911,832773.1865,991060,820906.7252,832776.8246,TM,MAJOR ROUTE
992175-992176,992175,820887.0664,832780.5028,992176,819794.9057,833075.5778,TM,MAJOR ROUTE
992176-992177,992176,819794.9057,833075.5778,992177,819777.2144,833084.9062,TM,MAJOR ROUTE
992177-991061,992177,819777.2144,833084.9062,991061,819759.5232,833094.2347,TM,MAJOR ROUTE
992178-992179,992178,819741.3883,833102.6634,992179,818924.7289,833066.6428,TM,MAJOR ROUTE
992179-992180,992179,818924.7289,833066.6428,992180,818905.7843,833060.2332,TM,MAJOR ROUTE
992180-991062,992180,818905.7843,833060.2332,991062,818886.8447,833053.8075,TM,MAJOR ROUTE
